run_id,claim_name,negative_source,adapter_name,adapter_label,selection_role,metric_source,metric,stage3d,baseline_r004,delta_vs_r004
s3d001,noised_gold_unfiltered_3k_control,noised_gold,dpo_best_adapter,final,loss_best_final,primary,permissive_parse_success,1.0,1.0,0.0
s3d001,noised_gold_unfiltered_3k_control,noised_gold,dpo_best_adapter,final,loss_best_final,primary,schema_validity,1.0,1.0,0.0
s3d001,noised_gold_unfiltered_3k_control,noised_gold,dpo_best_adapter,final,loss_best_final,primary,strict_parse_success,0.9259259259259259,0.9629629629629629,-0.03703703703703698
s3d001,noised_gold_unfiltered_3k_control,noised_gold,dpo_best_adapter,final,loss_best_final,primary,tool_call_accuracy_on_sft_dev,0.7008547008547008,0.7549857549857549,-0.054131054131054124
s3d001,noised_gold_unfiltered_3k_control,noised_gold,dpo_best_adapter,final,loss_best_final,secondary,functionchat_bench.argument_accuracy,0.85,0.83,0.020000000000000018
s3d001,noised_gold_unfiltered_3k_control,noised_gold,dpo_best_adapter,final,loss_best_final,secondary,functionchat_bench.function_name_accuracy,0.94,0.95,-0.010000000000000009
s3d001,noised_gold_unfiltered_3k_control,noised_gold,dpo_best_adapter,final,loss_best_final,secondary,functionchat_bench.output_type_accuracy,0.85,0.83,0.020000000000000018
s3d001,noised_gold_unfiltered_3k_control,noised_gold,dpo_best_adapter,final,loss_best_final,secondary,functionchat_bench.tool_hallucination_rate,0.0,0.0,0.0
s3d001,noised_gold_unfiltered_3k_control,noised_gold,dpo_best_adapter,final,loss_best_final,secondary,ifeval_style.instruction_level_accuracy,0.6981132075471698,0.7672955974842768,-0.06918238993710701
s3d001,noised_gold_unfiltered_3k_control,noised_gold,dpo_best_adapter,final,loss_best_final,secondary,ifeval_style.prompt_level_strict_accuracy,0.53125,0.6354166666666666,-0.10416666666666663
s3d002,behavior_unfiltered_3k_control,behavior,checkpoint_step_0050,step50,preferred_tradeoff_candidate,primary,BFCL_category_accuracy.live_multiple,0.6833333333333333,0.7166666666666667,-0.033333333333333326
s3d002,behavior_unfiltered_3k_control,behavior,checkpoint_step_0050,step50,preferred_tradeoff_candidate,primary,BFCL_category_accuracy.multiple,0.9,0.9166666666666666,-0.016666666666666607
s3d002,behavior_unfiltered_3k_control,behavior,checkpoint_step_0050,step50,preferred_tradeoff_candidate,primary,BFCL_category_accuracy.parallel,0.85,0.6166666666666667,0.23333333333333328
s3d002,behavior_unfiltered_3k_control,behavior,checkpoint_step_0050,step50,preferred_tradeoff_candidate,primary,BFCL_category_accuracy.relevance,0.05,0.13333333333333333,-0.08333333333333333
s3d002,behavior_unfiltered_3k_control,behavior,checkpoint_step_0050,step50,preferred_tradeoff_candidate,primary,BFCL_category_accuracy.simple,0.9333333333333333,0.95,-0.016666666666666607
s3d002,behavior_unfiltered_3k_control,behavior,checkpoint_step_0050,step50,preferred_tradeoff_candidate,primary,BFCL_core_accuracy,0.6833333333333333,0.6666666666666666,0.01666666666666672
s3d002,behavior_unfiltered_3k_control,behavior,checkpoint_step_0050,step50,preferred_tradeoff_candidate,primary,When2Call_behavior_accuracy,0.6266666666666667,0.5733333333333334,0.053333333333333344
s3d002,behavior_unfiltered_3k_control,behavior,checkpoint_step_0050,step50,preferred_tradeoff_candidate,primary,When2Call_f1_by_class.direct_answer,0.0,0.0,0.0
s3d002,behavior_unfiltered_3k_control,behavior,checkpoint_step_0050,step50,preferred_tradeoff_candidate,primary,When2Call_f1_by_class.follow_up,0.624277456647399,0.4782608695652174,0.14601658708218157
s3d002,behavior_unfiltered_3k_control,behavior,checkpoint_step_0050,step50,preferred_tradeoff_candidate,primary,When2Call_f1_by_class.tool_call,0.7235772357723577,0.6886446886446885,0.034932547127669134
s3d002,behavior_unfiltered_3k_control,behavior,checkpoint_step_0050,step50,preferred_tradeoff_candidate,primary,When2Call_f1_by_class.unable,0.7485380116959065,0.7570621468926553,-0.008524135196748772
